doctor_id,drug_name,prescribed,age,gender,specialty_x,years_experience,location,hospital_affiliation,num_patients_per_day,prescription_volume,attended_drug_seminar,received_sample,drug_price_sensitivity,trust_in_pharma,brand_name,generic_drug_name,manufacturer,drug_type,average_cost_eur,efficacy_rating,side_effect_score,marketing_push,specialty_y
DOC0002,Drug_E,Yes,44,Female,General Physician,30,Urban,No,20,82,No,Yes,4,3,Aleve,Naproxen,Bayer,Analgesic,4.0,3.0,0.2,High,general therapeutics
DOC0002,Drug_F,No,44,Female,General Physician,30,Urban,No,20,82,No,Yes,4,3,Tenormin,Atenolol,AstraZeneca,Antihypertensive,6.0,3.0,0.4,Low,general therapeutics
DOC0002,Drug_G,Yes,44,Female,General Physician,30,Urban,No,20,82,No,Yes,4,3,Cozaar,Losartan,Merck & Co.,Antihypertensive,9.5,4.0,0.2,High,general therapeutics
DOC0002,Drug_H,No,44,Female,General Physician,30,Urban,No,20,82,No,Yes,4,3,Catapres,Clonidine,Boehringer Ingelheim,Antihypertensive,7.0,2.5,0.5,Low,general therapeutics
DOC0002,Drug_I,No,44,Female,General Physician,30,Urban,No,20,82,No,Yes,4,3,Cymbalta,Duloxetine,Eli Lilly and Company,Antidepressant,19.0,4.0,0.7,High,general therapeutics
DOC0002,Drug_J,Yes,44,Female,General Physician,30,Urban,No,20,82,No,Yes,4,3,Celebrex,Celecoxib,Pfizer,Analgesic,18.5,4.0,0.25,High,general therapeutics
DOC0003,Drug_A,No,37,Other,Pediatrician,4,Rural,Yes,22,104,No,No,4,2,Advil,Ibuprofen,Pfizer,Analgesic,5.5,3.0,0.3,High,general therapeutics
DOC0003,Drug_B,No,37,Other,Pediatrician,4,Rural,Yes,22,104,No,No,4,2,Zoloft,Sertraline,Pfizer,Antidepressant,15.0,4.0,0.25,High,general therapeutics
DOC0003,Drug_C,Yes,37,Other,Pediatrician,4,Rural,Yes,22,104,No,No,4,2,Norvasc,Amlodipine,Pfizer,Antihypertensive,8.2,5.0,0.15,Medium,general therapeutics
DOC0003,Drug_D,No,37,Other,Pediatrician,4,Rural,Yes,22,104,No,No,4,2,Wellbutrin,Bupropion,GlaxoSmithKline (GSK),Antidepressant,28.0,3.5,0.6,Medium,general therapeutics
DOC0003,Drug_E,No,37,Other,Pediatrician,4,Rural,Yes,22,104,No,No,4,2,Aleve,Naproxen,Bayer,Analgesic,4.0,3.0,0.2,High,general therapeutics
DOC0003,Drug_F,No,37,Other,Pediatrician,4,Rural,Yes,22,104,No,No,4,2,Tenormin,Atenolol,AstraZeneca,Antihypertensive,6.0,3.0,0.4,Low,general therapeutics
DOC0003,Drug_G,No,37,Other,Pediatrician,4,Rural,Yes,22,104,No,No,4,2,Cozaar,Losartan,Merck & Co.,Antihypertensive,9.5,4.0,0.2,High,general therapeutics
DOC0003,Drug_H,No,37,Other,Pediatrician,4,Rural,Yes,22,104,No,No,4,2,Catapres,Clonidine,Boehringer Ingelheim,Antihypertensive,7.0,2.5,0.5,Low,general therapeutics
DOC0003,Drug_I,No,37,Other,Pediatrician,4,Rural,Yes,22,104,No,No,4,2,Cymbalta,Duloxetine,Eli Lilly and Company,Antidepressant,19.0,4.0,0.7,High,general therapeutics
DOC0003,Drug_J,No,37,Other,Pediatrician,4,Rural,Yes,22,104,No,No,4,2,Celebrex,Celecoxib,Pfizer,Analgesic,18.5,4.0,0.25,High,general therapeutics
DOC0004,Drug_A,Yes,50,Male,Dermatologist,18,Rural,No,10,235,Yes,Yes,5,3,Advil,Ibuprofen,Pfizer,Analgesic,5.5,3.0,0.3,High,general therapeutics
DOC0004,Drug_B,Yes,50,Male,Dermatologist,18,Rural,No,10,235,Yes,Yes,5,3,Zoloft,Sertraline,Pfizer,Antidepressant,15.0,4.0,0.25,High,general therapeutics
DOC0004,Drug_C,Yes,50,Male,Dermatologist,18,Rural,No,10,235,Yes,Yes,5,3,Norvasc,Amlodipine,Pfizer,Antihypertensive,8.2,5.0,0.15,Medium,general therapeutics
DOC0004,Drug_D,No,50,Male,Dermatologist,18,Rural,No,10,235,Yes,Yes,5,3,Wellbutrin,Bupropion,GlaxoSmithKline (GSK),Antidepressant,28.0,3.5,0.6,Medium,general therapeutics
DOC0004,Drug_E,Yes,50,Male,Dermatologist,18,Rural,No,10,235,Yes,Yes,5,3,Aleve,Naproxen,Bayer,Analgesic,4.0,3.0,0.2,High,general therapeutics
DOC0004,Drug_F,No,50,Male,Dermatologist,18,Rural,No,10,235,Yes,Yes,5,3,Tenormin,Atenolol,AstraZeneca,Antihypertensive,6.0,3.0,0.4,Low,general therapeutics
DOC0004,Drug_G,Yes,50,Male,Dermatologist,18,Rural,No,10,235,Yes,Yes,5,3,Cozaar,Losartan,Merck & Co.,Antihypertensive,9.5,4.0,0.2,High,general therapeutics
DOC0004,Drug_H,Yes,50,Male,Dermatologist,18,Rural,No,10,235,Yes,Yes,5,3,Catapres,Clonidine,Boehringer Ingelheim,Antihypertensive,7.0,2.5,0.5,Low,general therapeutics
DOC0004,Drug_I,Yes,50,Male,Dermatologist,18,Rural,No,10,235,Yes,Yes,5,3,Cymbalta,Duloxetine,Eli Lilly and Company,Antidepressant,19.0,4.0,0.7,High,general therapeutics
DOC0004,Drug_J,Yes,50,Male,Dermatologist,18,Rural,No,10,235,Yes,Yes,5,3,Celebrex,Celecoxib,Pfizer,Analgesic,18.5,4.0,0.25,High,general therapeutics
DOC0005,Drug_A,No,68,Male,Cardiologist,37,Urban,Yes,49,56,No,No,4,2,Advil,Ibuprofen,Pfizer,Analgesic,5.5,3.0,0.3,High,general therapeutics
DOC0005,Drug_B,No,68,Male,Cardiologist,37,Urban,Yes,49,56,No,No,4,2,Zoloft,Sertraline,Pfizer,Antidepressant,15.0,4.0,0.25,High,general therapeutics
DOC0005,Drug_C,Yes,68,Male,Cardiologist,37,Urban,Yes,49,56,No,No,4,2,Norvasc,Amlodipine,Pfizer,Antihypertensive,8.2,5.0,0.15,Medium,general therapeutics
DOC0005,Drug_D,No,68,Male,Cardiologist,37,Urban,Yes,49,56,No,No,4,2,Wellbutrin,Bupropion,GlaxoSmithKline (GSK),Antidepressant,28.0,3.5,0.6,Medium,general therapeutics
DOC0005,Drug_E,No,68,Male,Cardiologist,37,Urban,Yes,49,56,No,No,4,2,Aleve,Naproxen,Bayer,Analgesic,4.0,3.0,0.2,High,general therapeutics
DOC0005,Drug_F,No,68,Male,Cardiologist,37,Urban,Yes,49,56,No,No,4,2,Tenormin,Atenolol,AstraZeneca,Antihypertensive,6.0,3.0,0.4,Low,general therapeutics
DOC0005,Drug_G,No,68,Male,Cardiologist,37,Urban,Yes,49,56,No,No,4,2,Cozaar,Losartan,Merck & Co.,Antihypertensive,9.5,4.0,0.2,High,general therapeutics
DOC0005,Drug_H,No,68,Male,Cardiologist,37,Urban,Yes,49,56,No,No,4,2,Catapres,Clonidine,Boehringer Ingelheim,Antihypertensive,7.0,2.5,0.5,Low,general therapeutics
DOC0005,Drug_I,No,68,Male,Cardiologist,37,Urban,Yes,49,56,No,No,4,2,Cymbalta,Duloxetine,Eli Lilly and Company,Antidepressant,19.0,4.0,0.7,High,general therapeutics
DOC0005,Drug_J,No,68,Male,Cardiologist,37,Urban,Yes,49,56,No,No,4,2,Celebrex,Celecoxib,Pfizer,Analgesic,18.5,4.0,0.25,High,general therapeutics
DOC0006,Drug_A,No,48,Other,Orthopedic,25,Rural,Yes,28,293,No,Yes,2,5,Advil,Ibuprofen,Pfizer,Analgesic,5.5,3.0,0.3,High,general therapeutics
DOC0006,Drug_B,Yes,48,Other,Orthopedic,25,Rural,Yes,28,293,No,Yes,2,5,Zoloft,Sertraline,Pfizer,Antidepressant,15.0,4.0,0.25,High,general therapeutics
DOC0006,Drug_C,No,48,Other,Orthopedic,25,Rural,Yes,28,293,No,Yes,2,5,Norvasc,Amlodipine,Pfizer,Antihypertensive,8.2,5.0,0.15,Medium,general therapeutics
DOC0006,Drug_D,No,48,Other,Orthopedic,25,Rural,Yes,28,293,No,Yes,2,5,Wellbutrin,Bupropion,GlaxoSmithKline (GSK),Antidepressant,28.0,3.5,0.6,Medium,general therapeutics
DOC0006,Drug_E,No,48,Other,Orthopedic,25,Rural,Yes,28,293,No,Yes,2,5,Aleve,Naproxen,Bayer,Analgesic,4.0,3.0,0.2,High,general therapeutics
DOC0006,Drug_F,No,48,Other,Orthopedic,25,Rural,Yes,28,293,No,Yes,2,5,Tenormin,Atenolol,AstraZeneca,Antihypertensive,6.0,3.0,0.4,Low,general therapeutics
DOC0006,Drug_G,No,48,Other,Orthopedic,25,Rural,Yes,28,293,No,Yes,2,5,Cozaar,Losartan,Merck & Co.,Antihypertensive,9.5,4.0,0.2,High,general therapeutics
DOC0006,Drug_H,No,48,Other,Orthopedic,25,Rural,Yes,28,293,No,Yes,2,5,Catapres,Clonidine,Boehringer Ingelheim,Antihypertensive,7.0,2.5,0.5,Low,general therapeutics
DOC0006,Drug_I,No,48,Other,Orthopedic,25,Rural,Yes,28,293,No,Yes,2,5,Cymbalta,Duloxetine,Eli Lilly and Company,Antidepressant,19.0,4.0,0.7,High,general therapeutics
DOC0006,Drug_J,No,48,Other,Orthopedic,25,Rural,Yes,28,293,No,Yes,2,5,Celebrex,Celecoxib,Pfizer,Analgesic,18.5,4.0,0.25,High,general therapeutics
DOC0007,Drug_A,Yes,52,Male,General Physician,1,Urban,Yes,21,106,Yes,Yes,2,3,Advil,Ibuprofen,Pfizer,Analgesic,5.5,3.0,0.3,High,general therapeutics
DOC0007,Drug_B,Yes,52,Male,General Physician,1,Urban,Yes,21,106,Yes,Yes,2,3,Zoloft,Sertraline,Pfizer,Antidepressant,15.0,4.0,0.25,High,general therapeutics
DOC0007,Drug_C,Yes,52,Male,General Physician,1,Urban,Yes,21,106,Yes,Yes,2,3,Norvasc,Amlodipine,Pfizer,Antihypertensive,8.2,5.0,0.15,Medium,general therapeutics
DOC0007,Drug_D,No,52,Male,General Physician,1,Urban,Yes,21,106,Yes,Yes,2,3,Wellbutrin,Bupropion,GlaxoSmithKline (GSK),Antidepressant,28.0,3.5,0.6,Medium,general therapeutics
DOC0007,Drug_E,Yes,52,Male,General Physician,1,Urban,Yes,21,106,Yes,Yes,2,3,Aleve,Naproxen,Bayer,Analgesic,4.0,3.0,0.2,High,general therapeutics
DOC0007,Drug_F,No,52,Male,General Physician,1,Urban,Yes,21,106,Yes,Yes,2,3,Tenormin,Atenolol,AstraZeneca,Antihypertensive,6.0,3.0,0.4,Low,general therapeutics
DOC0007,Drug_G,Yes,52,Male,General Physician,1,Urban,Yes,21,106,Yes,Yes,2,3,Cozaar,Losartan,Merck & Co.,Antihypertensive,9.5,4.0,0.2,High,general therapeutics
DOC0007,Drug_H,No,52,Male,General Physician,1,Urban,Yes,21,106,Yes,Yes,2,3,Catapres,Clonidine,Boehringer Ingelheim,Antihypertensive,7.0,2.5,0.5,Low,general therapeutics
DOC0007,Drug_I,No,52,Male,General Physician,1,Urban,Yes,21,106,Yes,Yes,2,3,Cymbalta,Duloxetine,Eli Lilly and Company,Antidepressant,19.0,4.0,0.7,High,general therapeutics
DOC0007,Drug_J,Yes,52,Male,General Physician,1,Urban,Yes,21,106,Yes,Yes,2,3,Celebrex,Celecoxib,Pfizer,Analgesic,18.5,4.0,0.25,High,general therapeutics
DOC0008,Drug_A,No,40,Other,Cardiologist,15,Suburban,Yes,17,175,No,Yes,3,3,Advil,Ibuprofen,Pfizer,Analgesic,5.5,3.0,0.3,High,general therapeutics
DOC0008,Drug_B,Yes,40,Other,Cardiologist,15,Suburban,Yes,17,175,No,Yes,3,3,Zoloft,Sertraline,Pfizer,Antidepressant,15.0,4.0,0.25,High,general therapeutics
DOC0008,Drug_C,No,40,Other,Cardiologist,15,Suburban,Yes,17,175,No,Yes,3,3,Norvasc,Amlodipine,Pfizer,Antihypertensive,8.2,5.0,0.15,Medium,general therapeutics
DOC0008,Drug_D,No,40,Other,Cardiologist,15,Suburban,Yes,17,175,No,Yes,3,3,Wellbutrin,Bupropion,GlaxoSmithKline (GSK),Antidepressant,28.0,3.5,0.6,Medium,general therapeutics
DOC0008,Drug_E,No,40,Other,Cardiologist,15,Suburban,Yes,17,175,No,Yes,3,3,Aleve,Naproxen,Bayer,Analgesic,4.0,3.0,0.2,High,general therapeutics
DOC0008,Drug_F,No,40,Other,Cardiologist,15,Suburban,Yes,17,175,No,Yes,3,3,Tenormin,Atenolol,AstraZeneca,Antihypertensive,6.0,3.0,0.4,Low,general therapeutics
DOC0008,Drug_G,No,40,Other,Cardiologist,15,Suburban,Yes,17,175,No,Yes,3,3,Cozaar,Losartan,Merck & Co.,Antihypertensive,9.5,4.0,0.2,High,general therapeutics
DOC0008,Drug_H,No,40,Other,Cardiologist,15,Suburban,Yes,17,175,No,Yes,3,3,Catapres,Clonidine,Boehringer Ingelheim,Antihypertensive,7.0,2.5,0.5,Low,general therapeutics
DOC0008,Drug_I,No,40,Other,Cardiologist,15,Suburban,Yes,17,175,No,Yes,3,3,Cymbalta,Duloxetine,Eli Lilly and Company,Antidepressant,19.0,4.0,0.7,High,general therapeutics
DOC0008,Drug_J,No,40,Other,Cardiologist,15,Suburban,Yes,17,175,No,Yes,3,3,Celebrex,Celecoxib,Pfizer,Analgesic,18.5,4.0,0.25,High,general therapeutics
DOC0009,Drug_A,Yes,40,Male,General Physician,9,Suburban,Yes,17,61,Yes,Yes,3,3,Advil,Ibuprofen,Pfizer,Analgesic,5.5,3.0,0.3,High,general therapeutics
DOC0009,Drug_B,Yes,40,Male,General Physician,9,Suburban,Yes,17,61,Yes,Yes,3,3,Zoloft,Sertraline,Pfizer,Antidepressant,15.0,4.0,0.25,High,general therapeutics
DOC0009,Drug_C,Yes,40,Male,General Physician,9,Suburban,Yes,17,61,Yes,Yes,3,3,Norvasc,Amlodipine,Pfizer,Antihypertensive,8.2,5.0,0.15,Medium,general therapeutics
DOC0009,Drug_D,No,40,Male,General Physician,9,Suburban,Yes,17,61,Yes,Yes,3,3,Wellbutrin,Bupropion,GlaxoSmithKline (GSK),Antidepressant,28.0,3.5,0.6,Medium,general therapeutics
DOC0009,Drug_E,Yes,40,Male,General Physician,9,Suburban,Yes,17,61,Yes,Yes,3,3,Aleve,Naproxen,Bayer,Analgesic,4.0,3.0,0.2,High,general therapeutics
DOC0009,Drug_F,No,40,Male,General Physician,9,Suburban,Yes,17,61,Yes,Yes,3,3,Tenormin,Atenolol,AstraZeneca,Antihypertensive,6.0,3.0,0.4,Low,general therapeutics
DOC0009,Drug_G,Yes,40,Male,General Physician,9,Suburban,Yes,17,61,Yes,Yes,3,3,Cozaar,Losartan,Merck & Co.,Antihypertensive,9.5,4.0,0.2,High,general therapeutics
DOC0009,Drug_H,No,40,Male,General Physician,9,Suburban,Yes,17,61,Yes,Yes,3,3,Catapres,Clonidine,Boehringer Ingelheim,Antihypertensive,7.0,2.5,0.5,Low,general therapeutics
DOC0009,Drug_I,No,40,Male,General Physician,9,Suburban,Yes,17,61,Yes,Yes,3,3,Cymbalta,Duloxetine,Eli Lilly and Company,Antidepressant,19.0,4.0,0.7,High,general therapeutics
DOC0009,Drug_J,Yes,40,Male,General Physician,9,Suburban,Yes,17,61,Yes,Yes,3,3,Celebrex,Celecoxib,Pfizer,Analgesic,18.5,4.0,0.25,High,general therapeutics
DOC0010,Drug_A,No,53,Male,Pediatrician,15,Rural,No,21,65,No,No,3,2,Advil,Ibuprofen,Pfizer,Analgesic,5.5,3.0,0.3,High,general therapeutics
DOC0010,Drug_B,No,53,Male,Pediatrician,15,Rural,No,21,65,No,No,3,2,Zoloft,Sertraline,Pfizer,Antidepressant,15.0,4.0,0.25,High,general therapeutics
DOC0010,Drug_C,No,53,Male,Pediatrician,15,Rural,No,21,65,No,No,3,2,Norvasc,Amlodipine,Pfizer,Antihypertensive,8.2,5.0,0.15,Medium,general therapeutics
DOC0010,Drug_D,No,53,Male,Pediatrician,15,Rural,No,21,65,No,No,3,2,Wellbutrin,Bupropion,GlaxoSmithKline (GSK),Antidepressant,28.0,3.5,0.6,Medium,general therapeutics
DOC0010,Drug_E,No,53,Male,Pediatrician,15,Rural,No,21,65,No,No,3,2,Aleve,Naproxen,Bayer,Analgesic,4.0,3.0,0.2,High,general therapeutics
DOC0010,Drug_F,No,53,Male,Pediatrician,15,Rural,No,21,65,No,No,3,2,Tenormin,Atenolol,AstraZeneca,Antihypertensive,6.0,3.0,0.4,Low,general therapeutics
DOC0010,Drug_G,No,53,Male,Pediatrician,15,Rural,No,21,65,No,No,3,2,Cozaar,Losartan,Merck & Co.,Antihypertensive,9.5,4.0,0.2,High,general therapeutics
DOC0010,Drug_H,No,53,Male,Pediatrician,15,Rural,No,21,65,No,No,3,2,Catapres,Clonidine,Boehringer Ingelheim,Antihypertensive,7.0,2.5,0.5,Low,general therapeutics
DOC0010,Drug_I,No,53,Male,Pediatrician,15,Rural,No,21,65,No,No,3,2,Cymbalta,Duloxetine,Eli Lilly and Company,Antidepressant,19.0,4.0,0.7,High,general therapeutics
DOC0010,Drug_J,No,53,Male,Pediatrician,15,Rural,No,21,65,No,No,3,2,Celebrex,Celecoxib,Pfizer,Analgesic,18.5,4.0,0.25,High,general therapeutics
DOC0011,Drug_A,Yes,65,Other,Neurologist,24,Urban,Yes,42,257,Yes,No,4,4,Advil,Ibuprofen,Pfizer,Analgesic,5.5,3.0,0.3,High,general therapeutics
DOC0011,Drug_B,Yes,65,Other,Neurologist,24,Urban,Yes,42,257,Yes,No,4,4,Zoloft,Sertraline,Pfizer,Antidepressant,15.0,4.0,0.25,High,general therapeutics
DOC0011,Drug_C,Yes,65,Other,Neurologist,24,Urban,Yes,42,257,Yes,No,4,4,Norvasc,Amlodipine,Pfizer,Antihypertensive,8.2,5.0,0.15,Medium,general therapeutics
DOC0011,Drug_D,No,65,Other,Neurologist,24,Urban,Yes,42,257,Yes,No,4,4,Wellbutrin,Bupropion,GlaxoSmithKline (GSK),Antidepressant,28.0,3.5,0.6,Medium,general therapeutics
DOC0011,Drug_E,Yes,65,Other,Neurologist,24,Urban,Yes,42,257,Yes,No,4,4,Aleve,Naproxen,Bayer,Analgesic,4.0,3.0,0.2,High,general therapeutics
DOC0011,Drug_F,No,65,Other,Neurologist,24,Urban,Yes,42,257,Yes,No,4,4,Tenormin,Atenolol,AstraZeneca,Antihypertensive,6.0,3.0,0.4,Low,general therapeutics
DOC0011,Drug_G,Yes,65,Other,Neurologist,24,Urban,Yes,42,257,Yes,No,4,4,Cozaar,Losartan,Merck & Co.,Antihypertensive,9.5,4.0,0.2,High,general therapeutics
DOC0011,Drug_H,Yes,65,Other,Neurologist,24,Urban,Yes,42,257,Yes,No,4,4,Catapres,Clonidine,Boehringer Ingelheim,Antihypertensive,7.0,2.5,0.5,Low,general therapeutics
DOC0011,Drug_I,Yes,65,Other,Neurologist,24,Urban,Yes,42,257,Yes,No,4,4,Cymbalta,Duloxetine,Eli Lilly and Company,Antidepressant,19.0,4.0,0.7,High,general therapeutics
DOC0011,Drug_J,Yes,65,Other,Neurologist,24,Urban,Yes,42,257,Yes,No,4,4,Celebrex,Celecoxib,Pfizer,Analgesic,18.5,4.0,0.25,High,general therapeutics
DOC0012,Drug_A,No,69,Male,Orthopedic,4,Urban,Yes,35,92,No,No,4,5,Advil,Ibuprofen,Pfizer,Analgesic,5.5,3.0,0.3,High,general therapeutics
DOC0012,Drug_B,Yes,69,Male,Orthopedic,4,Urban,Yes,35,92,No,No,4,5,Zoloft,Sertraline,Pfizer,Antidepressant,15.0,4.0,0.25,High,general therapeutics
DOC0012,Drug_C,Yes,69,Male,Orthopedic,4,Urban,Yes,35,92,No,No,4,5,Norvasc,Amlodipine,Pfizer,Antihypertensive,8.2,5.0,0.15,Medium,general therapeutics
DOC0012,Drug_D,No,69,Male,Orthopedic,4,Urban,Yes,35,92,No,No,4,5,Wellbutrin,Bupropion,GlaxoSmithKline (GSK),Antidepressant,28.0,3.5,0.6,Medium,general therapeutics
DOC0012,Drug_E,Yes,69,Male,Orthopedic,4,Urban,Yes,35,92,No,No,4,5,Aleve,Naproxen,Bayer,Analgesic,4.0,3.0,0.2,High,general therapeutics
DOC0012,Drug_F,No,69,Male,Orthopedic,4,Urban,Yes,35,92,No,No,4,5,Tenormin,Atenolol,AstraZeneca,Antihypertensive,6.0,3.0,0.4,Low,general therapeutics
DOC0012,Drug_G,Yes,69,Male,Orthopedic,4,Urban,Yes,35,92,No,No,4,5,Cozaar,Losartan,Merck & Co.,Antihypertensive,9.5,4.0,0.2,High,general therapeutics
DOC0012,Drug_H,No,69,Male,Orthopedic,4,Urban,Yes,35,92,No,No,4,5,Catapres,Clonidine,Boehringer Ingelheim,Antihypertensive,7.0,2.5,0.5,Low,general therapeutics
DOC0012,Drug_I,No,69,Male,Orthopedic,4,Urban,Yes,35,92,No,No,4,5,Cymbalta,Duloxetine,Eli Lilly and Company,Antidepressant,19.0,4.0,0.7,High,general therapeutics
DOC0012,Drug_J,Yes,69,Male,Orthopedic,4,Urban,Yes,35,92,No,No,4,5,Celebrex,Celecoxib,Pfizer,Analgesic,18.5,4.0,0.25,High,general therapeutics
DOC0013,Drug_A,No,53,Other,Pediatrician,12,Rural,Yes,48,166,No,No,5,3,Advil,Ibuprofen,Pfizer,Analgesic,5.5,3.0,0.3,High,general therapeutics
DOC0013,Drug_B,Yes,53,Other,Pediatrician,12,Rural,Yes,48,166,No,No,5,3,Zoloft,Sertraline,Pfizer,Antidepressant,15.0,4.0,0.25,High,general therapeutics
DOC0013,Drug_C,Yes,53,Other,Pediatrician,12,Rural,Yes,48,166,No,No,5,3,Norvasc,Amlodipine,Pfizer,Antihypertensive,8.2,5.0,0.15,Medium,general therapeutics
DOC0013,Drug_D,No,53,Other,Pediatrician,12,Rural,Yes,48,166,No,No,5,3,Wellbutrin,Bupropion,GlaxoSmithKline (GSK),Antidepressant,28.0,3.5,0.6,Medium,general therapeutics
DOC0013,Drug_E,Yes,53,Other,Pediatrician,12,Rural,Yes,48,166,No,No,5,3,Aleve,Naproxen,Bayer,Analgesic,4.0,3.0,0.2,High,general therapeutics
DOC0013,Drug_F,No,53,Other,Pediatrician,12,Rural,Yes,48,166,No,No,5,3,Tenormin,Atenolol,AstraZeneca,Antihypertensive,6.0,3.0,0.4,Low,general therapeutics
DOC0013,Drug_G,Yes,53,Other,Pediatrician,12,Rural,Yes,48,166,No,No,5,3,Cozaar,Losartan,Merck & Co.,Antihypertensive,9.5,4.0,0.2,High,general therapeutics
DOC0013,Drug_H,No,53,Other,Pediatrician,12,Rural,Yes,48,166,No,No,5,3,Catapres,Clonidine,Boehringer Ingelheim,Antihypertensive,7.0,2.5,0.5,Low,general therapeutics
